"并排边-流线化","Set edge flow"
"并排边-线性化","Set edge linear"
"复制 位置","Copy Location"
"复制 旋转","Copy Rotation"
"复制 缩放","Copy Scale"
"复制 绘制设置","Copy Draw Options"
"复制 实例数据","Copy Instancing"
"复制 物体颜色","Copy Object Color"
"复制 受保护的变换","Copy Protected Transform"
"复制 物体约束","Copy Object Constraints"
"复制 通道编号","Copy Pass Index"
"复制 修改器","Copy Modifiers"
"复制 权重","Copy Vertex Weights"
"复制 集合链接","Copy Collection Links"
"复制 约束(选择)","Copy Selected Constraints"
"复制 修改器(选择)","Copy Selected Modifiers"
"复制 自定义属性(选择)","Copy Selected Custom Properties"
"垂直","Horizontal"
"水平","Vertical"
"分布","Distribution"